cycle,mode,tick_long_tripsmode
0,trip_tgv,nil
0,trip_ter,nil
0,trip_taxi,nil
1,trip_tgv,nil
1,trip_ter,nil
1,trip_taxi,nil
2,trip_tgv,nil
2,trip_ter,nil
2,trip_taxi,nil
3,trip_tgv,nil
3,trip_ter,nil
3,trip_taxi,nil
4,trip_tgv,nil
4,trip_ter,nil
4,trip_taxi,nil
5,trip_tgv,nil
5,trip_ter,nil
5,trip_taxi,nil
6,trip_tgv,nil
6,trip_ter,nil
6,trip_taxi,nil
7,trip_tgv,nil
7,trip_ter,nil
7,trip_taxi,nil
8,trip_tgv,nil
8,trip_ter,nil
8,trip_taxi,nil
9,trip_tgv,nil
9,trip_ter,nil
9,trip_taxi,nil
10,trip_tgv,nil
10,trip_ter,nil
10,trip_taxi,nil
11,trip_tgv,nil
11,trip_ter,nil
11,trip_taxi,nil
12,trip_tgv,nil
12,trip_ter,nil
12,trip_taxi,nil
13,trip_tgv,nil
13,trip_ter,nil
13,trip_taxi,nil
14,trip_tgv,nil
14,trip_ter,nil
14,trip_taxi,nil
15,trip_tgv,nil
15,trip_ter,nil
15,trip_taxi,nil
16,trip_tgv,nil
16,trip_ter,nil
16,trip_taxi,nil
17,trip_tgv,nil
17,trip_ter,nil
17,trip_taxi,nil
18,trip_tgv,nil
18,trip_ter,nil
18,trip_taxi,nil
19,trip_tgv,nil
19,trip_ter,nil
19,trip_taxi,nil
20,trip_tgv,nil
20,trip_ter,nil
20,trip_taxi,nil
21,trip_tgv,nil
21,trip_ter,nil
21,trip_taxi,nil
22,trip_tgv,nil
22,trip_ter,nil
22,trip_taxi,nil
23,trip_tgv,nil
23,trip_ter,nil
23,trip_taxi,nil
24,trip_tgv,nil
24,trip_ter,nil
24,trip_taxi,nil
25,trip_tgv,nil
25,trip_ter,nil
25,trip_taxi,nil
26,trip_tgv,nil
26,trip_ter,nil
26,trip_taxi,nil
27,trip_tgv,nil
27,trip_ter,nil
27,trip_taxi,nil
28,trip_tgv,nil
28,trip_ter,nil
28,trip_taxi,nil
29,trip_tgv,nil
29,trip_ter,nil
29,trip_taxi,nil
30,trip_tgv,nil
30,trip_ter,nil
30,trip_taxi,nil
31,trip_tgv,nil
31,trip_ter,nil
31,trip_taxi,nil
32,trip_tgv,nil
32,trip_ter,nil
32,trip_taxi,nil
