cycle,mode,tick_short_tripsmode
0,trip_minibus,nil
0,trip_bike,nil
0,trip_walking,nil
1,trip_minibus,nil
1,trip_bike,nil
1,trip_walking,nil
2,trip_minibus,nil
2,trip_bike,nil
2,trip_walking,nil
3,trip_minibus,nil
3,trip_bike,nil
3,trip_walking,nil
4,trip_minibus,nil
4,trip_bike,nil
4,trip_walking,nil
5,trip_minibus,nil
5,trip_bike,nil
5,trip_walking,nil
6,trip_minibus,nil
6,trip_bike,nil
6,trip_walking,nil
7,trip_minibus,nil
7,trip_bike,nil
7,trip_walking,nil
8,trip_minibus,nil
8,trip_bike,nil
8,trip_walking,nil
9,trip_minibus,nil
9,trip_bike,nil
9,trip_walking,nil
10,trip_minibus,nil
10,trip_bike,nil
10,trip_walking,nil
11,trip_minibus,nil
11,trip_bike,nil
11,trip_walking,nil
12,trip_minibus,nil
12,trip_bike,nil
12,trip_walking,nil
13,trip_minibus,nil
13,trip_bike,nil
13,trip_walking,nil
14,trip_minibus,nil
14,trip_bike,nil
14,trip_walking,nil
15,trip_minibus,nil
15,trip_bike,nil
15,trip_walking,nil
16,trip_minibus,nil
16,trip_bike,nil
16,trip_walking,nil
17,trip_minibus,nil
17,trip_bike,nil
17,trip_walking,nil
18,trip_minibus,nil
18,trip_bike,nil
18,trip_walking,nil
19,trip_minibus,nil
19,trip_bike,nil
19,trip_walking,nil
20,trip_minibus,nil
20,trip_bike,nil
20,trip_walking,nil
21,trip_minibus,nil
21,trip_bike,nil
21,trip_walking,nil
22,trip_minibus,nil
22,trip_bike,nil
22,trip_walking,nil
23,trip_minibus,nil
23,trip_bike,nil
23,trip_walking,nil
24,trip_minibus,nil
24,trip_bike,nil
24,trip_walking,nil
25,trip_minibus,nil
25,trip_bike,nil
25,trip_walking,nil
26,trip_minibus,nil
26,trip_bike,nil
26,trip_walking,nil
27,trip_minibus,nil
27,trip_bike,nil
27,trip_walking,nil
28,trip_minibus,nil
28,trip_bike,nil
28,trip_walking,nil
29,trip_minibus,nil
29,trip_bike,nil
29,trip_walking,nil
30,trip_minibus,nil
30,trip_bike,nil
30,trip_walking,nil
31,trip_minibus,nil
31,trip_bike,nil
31,trip_walking,nil
32,trip_minibus,nil
32,trip_bike,nil
32,trip_walking,nil
33,trip_minibus,nil
33,trip_bike,nil
33,trip_walking,nil
34,trip_minibus,nil
34,trip_bike,nil
34,trip_walking,nil
35,trip_minibus,nil
35,trip_bike,nil
35,trip_walking,nil
36,trip_minibus,nil
36,trip_bike,nil
36,trip_walking,nil
37,trip_minibus,nil
37,trip_bike,nil
37,trip_walking,nil
38,trip_minibus,nil
38,trip_bike,nil
38,trip_walking,nil
39,trip_minibus,nil
39,trip_bike,nil
39,trip_walking,nil
40,trip_minibus,nil
40,trip_bike,nil
40,trip_walking,nil
41,trip_minibus,nil
41,trip_bike,nil
41,trip_walking,nil
42,trip_minibus,nil
42,trip_bike,nil
42,trip_walking,nil
43,trip_minibus,nil
43,trip_bike,nil
43,trip_walking,nil
44,trip_minibus,nil
44,trip_bike,nil
44,trip_walking,nil
45,trip_minibus,nil
45,trip_bike,nil
45,trip_walking,nil
46,trip_minibus,nil
46,trip_bike,nil
46,trip_walking,nil
47,trip_minibus,nil
47,trip_bike,nil
47,trip_walking,nil
48,trip_minibus,nil
48,trip_bike,nil
48,trip_walking,nil
49,trip_minibus,nil
49,trip_bike,nil
49,trip_walking,nil
50,trip_minibus,nil
50,trip_bike,nil
50,trip_walking,nil
51,trip_minibus,nil
51,trip_bike,nil
51,trip_walking,nil
52,trip_minibus,nil
52,trip_bike,nil
52,trip_walking,nil
53,trip_minibus,nil
53,trip_bike,nil
53,trip_walking,nil
54,trip_minibus,nil
54,trip_bike,nil
54,trip_walking,nil
55,trip_minibus,nil
55,trip_bike,nil
55,trip_walking,nil
56,trip_minibus,nil
56,trip_bike,nil
56,trip_walking,nil
57,trip_minibus,nil
57,trip_bike,nil
57,trip_walking,nil
58,trip_minibus,nil
58,trip_bike,nil
58,trip_walking,nil
59,trip_minibus,nil
59,trip_bike,nil
59,trip_walking,nil
60,trip_minibus,nil
60,trip_bike,nil
60,trip_walking,nil
61,trip_minibus,nil
61,trip_bike,nil
61,trip_walking,nil
62,trip_minibus,nil
62,trip_bike,nil
62,trip_walking,nil
63,trip_minibus,nil
63,trip_bike,nil
63,trip_walking,nil
64,trip_minibus,nil
64,trip_bike,nil
64,trip_walking,nil
65,trip_minibus,nil
65,trip_bike,nil
65,trip_walking,nil
66,trip_minibus,nil
66,trip_bike,nil
66,trip_walking,nil
67,trip_minibus,nil
67,trip_bike,nil
67,trip_walking,nil
68,trip_minibus,nil
68,trip_bike,nil
68,trip_walking,nil
69,trip_minibus,nil
69,trip_bike,nil
69,trip_walking,nil
70,trip_minibus,nil
70,trip_bike,nil
70,trip_walking,nil
71,trip_minibus,nil
71,trip_bike,nil
71,trip_walking,nil
72,trip_minibus,nil
72,trip_bike,nil
72,trip_walking,nil
73,trip_minibus,nil
73,trip_bike,nil
73,trip_walking,nil
74,trip_minibus,nil
74,trip_bike,nil
74,trip_walking,nil
75,trip_minibus,nil
75,trip_bike,nil
75,trip_walking,nil
76,trip_minibus,nil
76,trip_bike,nil
76,trip_walking,nil
77,trip_minibus,nil
77,trip_bike,nil
77,trip_walking,nil
78,trip_minibus,nil
78,trip_bike,nil
78,trip_walking,nil
79,trip_minibus,nil
79,trip_bike,nil
79,trip_walking,nil
80,trip_minibus,nil
80,trip_bike,nil
80,trip_walking,nil
81,trip_minibus,nil
81,trip_bike,nil
81,trip_walking,nil
82,trip_minibus,nil
82,trip_bike,nil
82,trip_walking,nil
83,trip_minibus,nil
83,trip_bike,nil
83,trip_walking,nil
84,trip_minibus,nil
84,trip_bike,nil
84,trip_walking,nil
85,trip_minibus,nil
85,trip_bike,nil
85,trip_walking,nil
86,trip_minibus,nil
86,trip_bike,nil
86,trip_walking,nil
87,trip_minibus,nil
87,trip_bike,nil
87,trip_walking,nil
88,trip_minibus,nil
88,trip_bike,nil
88,trip_walking,nil
89,trip_minibus,nil
89,trip_bike,nil
89,trip_walking,nil
90,trip_minibus,nil
90,trip_bike,nil
90,trip_walking,nil
91,trip_minibus,nil
91,trip_bike,nil
91,trip_walking,nil
92,trip_minibus,nil
92,trip_bike,nil
92,trip_walking,nil
93,trip_minibus,nil
93,trip_bike,nil
93,trip_walking,nil
94,trip_minibus,nil
94,trip_bike,nil
94,trip_walking,nil
95,trip_minibus,nil
95,trip_bike,nil
95,trip_walking,nil
96,trip_minibus,nil
96,trip_bike,nil
96,trip_walking,nil
97,trip_minibus,nil
97,trip_bike,nil
97,trip_walking,nil
